"team_name" "Average Pull Time" "year" "playoff" "one_goal"
"1" "Anaheim Ducks" 47.2307692307692 2016 FALSE "TRUE"
"2" "Arizona Coyotes" 48.8181818181818 2016 FALSE "TRUE"
"3" "Boston Bruins" 45.7213114754098 2016 FALSE "TRUE"
"4" "Buffalo Sabres" 40.4102564102564 2016 FALSE "TRUE"
"5" "Calgary Flames" 28.2941176470588 2016 FALSE "TRUE"
"6" "Carolina Hurricanes" 56.962962962963 2016 FALSE "TRUE"
"7" "Chicago Blackhawks" 67.5128205128205 2016 FALSE "TRUE"
"8" "Colorado Avalanche" 47.3275862068966 2016 FALSE "TRUE"
"9" "Columbus Blue Jackets" 42.8846153846154 2016 FALSE "TRUE"
"10" "Dallas Stars" 46.5652173913044 2016 FALSE "TRUE"
"11" "Detroit Red Wings" 42.3636363636364 2016 FALSE "TRUE"
"12" "Edmonton Oilers" 54 2016 FALSE "TRUE"
"13" "Florida Panthers" 45.8461538461538 2016 FALSE "TRUE"
"14" "Los Angeles Kings" 49.5161290322581 2016 FALSE "TRUE"
"15" "Minnesota Wild" 40.2608695652174 2016 FALSE "TRUE"
"16" "Montreal Canadiens" 50.9259259259259 2016 FALSE "TRUE"
"17" "Nashville Predators" 55.9333333333333 2016 FALSE "TRUE"
"18" "New Jersey Devils" 50.9 2016 FALSE "TRUE"
"19" "New York Islanders" 50.5263157894737 2016 FALSE "TRUE"
"20" "New York Rangers" 33.6428571428571 2016 FALSE "TRUE"
"21" "Ottawa Senators" 36.551724137931 2016 FALSE "TRUE"
"22" "Philadelphia Flyers" 50.2727272727273 2016 FALSE "TRUE"
"23" "Pittsburgh Penguins" 32.5294117647059 2016 FALSE "TRUE"
"24" "San Jose Sharks" 55.02 2016 FALSE "TRUE"
"25" "St. Louis Blues" 60.7333333333333 2016 FALSE "TRUE"
"26" "Tampa Bay Lightning" 63.4615384615385 2016 FALSE "TRUE"
"27" "Toronto Maple Leafs" 70.0416666666667 2016 FALSE "TRUE"
"28" "Vancouver Canucks" 49.2444444444444 2016 FALSE "TRUE"
"29" "Washington Capitals" 52.037037037037 2016 FALSE "TRUE"
"30" "Winnipeg Jets" 51.3 2016 FALSE "TRUE"
"31" "Anaheim Ducks" 94.5 2016 FALSE "FALSE"
"32" "Arizona Coyotes" 41.7619047619048 2016 FALSE "FALSE"
"33" "Boston Bruins" 80.34375 2016 FALSE "FALSE"
"34" "Buffalo Sabres" 35.44 2016 FALSE "FALSE"
"35" "Calgary Flames" 73.8529411764706 2016 FALSE "FALSE"
"36" "Carolina Hurricanes" 99.5172413793103 2016 FALSE "FALSE"
"37" "Chicago Blackhawks" 64.15 2016 FALSE "FALSE"
"38" "Colorado Avalanche" 57.2380952380952 2016 FALSE "FALSE"
"39" "Columbus Blue Jackets" 80.5555555555556 2016 FALSE "FALSE"
"40" "Dallas Stars" 74.25 2016 FALSE "FALSE"
"41" "Detroit Red Wings" 70.195652173913 2016 FALSE "FALSE"
"42" "Edmonton Oilers" 77.1111111111111 2016 FALSE "FALSE"
"43" "Florida Panthers" 82.9 2016 FALSE "FALSE"
"44" "Los Angeles Kings" 89.2608695652174 2016 FALSE "FALSE"
"45" "Minnesota Wild" 56.5757575757576 2016 FALSE "FALSE"
"46" "Montreal Canadiens" 66.48 2016 FALSE "FALSE"
"47" "Nashville Predators" 93.1153846153846 2016 FALSE "FALSE"
"48" "New Jersey Devils" 97.6176470588235 2016 FALSE "FALSE"
"49" "New York Islanders" 63.3846153846154 2016 FALSE "FALSE"
"50" "New York Rangers" 77.2222222222222 2016 FALSE "FALSE"
"51" "Ottawa Senators" 41.5625 2016 FALSE "FALSE"
"52" "Philadelphia Flyers" 51.4722222222222 2016 FALSE "FALSE"
"53" "Pittsburgh Penguins" 114.6 2016 FALSE "FALSE"
"54" "San Jose Sharks" 99.1111111111111 2016 FALSE "FALSE"
"55" "St. Louis Blues" 39.0434782608696 2016 FALSE "FALSE"
"56" "Tampa Bay Lightning" 97.7608695652174 2016 FALSE "FALSE"
"57" "Toronto Maple Leafs" 74.5555555555556 2016 FALSE "FALSE"
"58" "Vancouver Canucks" 71 2016 FALSE "FALSE"
"59" "Washington Capitals" 72.6923076923077 2016 FALSE "FALSE"
"60" "Winnipeg Jets" 68.75 2016 FALSE "FALSE"
"61" "Anaheim Ducks" 39.1666666666667 2016 TRUE "TRUE"
"62" "Boston Bruins" 40.3333333333333 2016 TRUE "TRUE"
"63" "Calgary Flames" 35 2016 TRUE "TRUE"
"64" "Chicago Blackhawks" 75.5 2016 TRUE "TRUE"
"65" "Edmonton Oilers" 92.4285714285714 2016 TRUE "TRUE"
"66" "Minnesota Wild" 75.2222222222222 2016 TRUE "TRUE"
"67" "Montreal Canadiens" 56.6666666666667 2016 TRUE "TRUE"
"68" "Nashville Predators" 45.2857142857143 2016 TRUE "TRUE"
"69" "New York Rangers" 63.6666666666667 2016 TRUE "TRUE"
"70" "Ottawa Senators" 48.8333333333333 2016 TRUE "TRUE"
"71" "Pittsburgh Penguins" 58.4 2016 TRUE "TRUE"
"72" "San Jose Sharks" 43.25 2016 TRUE "TRUE"
"73" "St. Louis Blues" 72.1666666666667 2016 TRUE "TRUE"
"74" "Toronto Maple Leafs" 16.5 2016 TRUE "TRUE"
"75" "Washington Capitals" 64.3333333333333 2016 TRUE "TRUE"
"76" "Anaheim Ducks" 70.4285714285714 2016 TRUE "FALSE"
"77" "Chicago Blackhawks" 131 2016 TRUE "FALSE"
"78" "Columbus Blue Jackets" 84.1428571428571 2016 TRUE "FALSE"
"79" "Minnesota Wild" 16 2016 TRUE "FALSE"
"80" "Montreal Canadiens" 36 2016 TRUE "FALSE"
"81" "Nashville Predators" 18.2857142857143 2016 TRUE "FALSE"
"82" "New York Rangers" 105.5 2016 TRUE "FALSE"
"83" "Pittsburgh Penguins" 99.9090909090909 2016 TRUE "FALSE"
"84" "San Jose Sharks" 130.5 2016 TRUE "FALSE"
"85" "St. Louis Blues" 86 2016 TRUE "FALSE"
"86" "Toronto Maple Leafs" 100.4 2016 TRUE "FALSE"
"87" "Washington Capitals" 40.25 2016 TRUE "FALSE"
"88" "Anaheim Ducks" 48.0769230769231 2017 FALSE "TRUE"
"89" "Arizona Coyotes" 52.6315789473684 2017 FALSE "TRUE"
"90" "Boston Bruins" 47.72 2017 FALSE "TRUE"
"91" "Buffalo Sabres" 63.5 2017 FALSE "TRUE"
"92" "Calgary Flames" 48.8620689655172 2017 FALSE "TRUE"
"93" "Carolina Hurricanes" 80.1836734693878 2017 FALSE "TRUE"
"94" "Chicago Blackhawks" 57.2352941176471 2017 FALSE "TRUE"
"95" "Colorado Avalanche" 52.9791666666667 2017 FALSE "TRUE"
"96" "Columbus Blue Jackets" 46.4444444444444 2017 FALSE "TRUE"
"97" "Dallas Stars" 61.8518518518519 2017 FALSE "TRUE"
"98" "Detroit Red Wings" 68.7368421052632 2017 FALSE "TRUE"
"99" "Edmonton Oilers" 45.5714285714286 2017 FALSE "TRUE"
"100" "Florida Panthers" 51.8387096774194 2017 FALSE "TRUE"
"101" "Los Angeles Kings" 45.171875 2017 FALSE "TRUE"
"102" "Minnesota Wild" 64.3243243243243 2017 FALSE "TRUE"
"103" "Montreal Canadiens" 63.5 2017 FALSE "TRUE"
"104" "Nashville Predators" 63.4102564102564 2017 FALSE "TRUE"
"105" "New Jersey Devils" 70.7105263157895 2017 FALSE "TRUE"
"106" "New York Islanders" 50.5762711864407 2017 FALSE "TRUE"
"107" "New York Rangers" 55.4054054054054 2017 FALSE "TRUE"
"108" "Ottawa Senators" 41.5797101449275 2017 FALSE "TRUE"
"109" "Philadelphia Flyers" 46.9130434782609 2017 FALSE "TRUE"
"110" "Pittsburgh Penguins" 51.462962962963 2017 FALSE "TRUE"
"111" "San Jose Sharks" 46.0789473684211 2017 FALSE "TRUE"
"112" "St. Louis Blues" 63.0869565217391 2017 FALSE "TRUE"
"113" "Tampa Bay Lightning" 56.741935483871 2017 FALSE "TRUE"
"114" "Toronto Maple Leafs" 88.3265306122449 2017 FALSE "TRUE"
"115" "Vancouver Canucks" 46.09375 2017 FALSE "TRUE"
"116" "Vegas Golden Knights" 53.1475409836066 2017 FALSE "TRUE"
"117" "Washington Capitals" 52.9032258064516 2017 FALSE "TRUE"
"118" "Winnipeg Jets" 51.2 2017 FALSE "TRUE"
"119" "Anaheim Ducks" 69.8787878787879 2017 FALSE "FALSE"
"120" "Arizona Coyotes" 60.5740740740741 2017 FALSE "FALSE"
"121" "Boston Bruins" 77.4 2017 FALSE "FALSE"
"122" "Buffalo Sabres" 107.62 2017 FALSE "FALSE"
"123" "Calgary Flames" 78.0975609756098 2017 FALSE "FALSE"
"124" "Carolina Hurricanes" 76.7586206896552 2017 FALSE "FALSE"
"125" "Chicago Blackhawks" 85.75 2017 FALSE "FALSE"
"126" "Colorado Avalanche" 75.6071428571429 2017 FALSE "FALSE"
"127" "Columbus Blue Jackets" 61.8214285714286 2017 FALSE "FALSE"
"128" "Dallas Stars" 108.428571428571 2017 FALSE "FALSE"
"129" "Detroit Red Wings" 101.304347826087 2017 FALSE "FALSE"
"130" "Edmonton Oilers" 94 2017 FALSE "FALSE"
"131" "Florida Panthers" 101 2017 FALSE "FALSE"
"132" "Los Angeles Kings" 46.0833333333333 2017 FALSE "FALSE"
"133" "Minnesota Wild" 88.7619047619048 2017 FALSE "FALSE"
"134" "Montreal Canadiens" 71.7407407407407 2017 FALSE "FALSE"
"135" "Nashville Predators" 59.1666666666667 2017 FALSE "FALSE"
"136" "New Jersey Devils" 50.5217391304348 2017 FALSE "FALSE"
"137" "New York Islanders" 76.0882352941177 2017 FALSE "FALSE"
"138" "New York Rangers" 98.6470588235294 2017 FALSE "FALSE"
"139" "Ottawa Senators" 87.3658536585366 2017 FALSE "FALSE"
"140" "Philadelphia Flyers" 84.304347826087 2017 FALSE "FALSE"
"141" "Pittsburgh Penguins" 93.1142857142857 2017 FALSE "FALSE"
"142" "San Jose Sharks" 94.4146341463415 2017 FALSE "FALSE"
"143" "St. Louis Blues" 97.5227272727273 2017 FALSE "FALSE"
"144" "Tampa Bay Lightning" 76.9166666666667 2017 FALSE "FALSE"
"145" "Toronto Maple Leafs" 89.3939393939394 2017 FALSE "FALSE"
"146" "Vancouver Canucks" 105.1 2017 FALSE "FALSE"
"147" "Vegas Golden Knights" 96.2083333333333 2017 FALSE "FALSE"
"148" "Washington Capitals" 73.0952380952381 2017 FALSE "FALSE"
"149" "Winnipeg Jets" 44.7142857142857 2017 FALSE "FALSE"
"150" "Anaheim Ducks" 51.7142857142857 2017 TRUE "TRUE"
"151" "Boston Bruins" 43.2857142857143 2017 TRUE "TRUE"
"152" "Colorado Avalanche" 46.75 2017 TRUE "TRUE"
"153" "Los Angeles Kings" 51.1666666666667 2017 TRUE "TRUE"
"154" "Minnesota Wild" 88.8571428571429 2017 TRUE "TRUE"
"155" "Nashville Predators" 50.6 2017 TRUE "TRUE"
"156" "New Jersey Devils" 84.3333333333333 2017 TRUE "TRUE"
"157" "Pittsburgh Penguins" 26.5 2017 TRUE "TRUE"
"158" "San Jose Sharks" 124 2017 TRUE "TRUE"
"159" "Vegas Golden Knights" 64.3333333333333 2017 TRUE "TRUE"
"160" "Washington Capitals" 62.3333333333333 2017 TRUE "TRUE"
"161" "Winnipeg Jets" 70.8 2017 TRUE "TRUE"
"162" "Boston Bruins" 74.1 2017 TRUE "FALSE"
"163" "Colorado Avalanche" 39.6666666666667 2017 TRUE "FALSE"
"164" "Columbus Blue Jackets" 138 2017 TRUE "FALSE"
"165" "Los Angeles Kings" 128 2017 TRUE "FALSE"
"166" "Nashville Predators" 92.5 2017 TRUE "FALSE"
"167" "New Jersey Devils" 91.3333333333333 2017 TRUE "FALSE"
"168" "Philadelphia Flyers" 116.285714285714 2017 TRUE "FALSE"
"169" "Pittsburgh Penguins" 48 2017 TRUE "FALSE"
"170" "San Jose Sharks" 133 2017 TRUE "FALSE"
"171" "Tampa Bay Lightning" 38.2 2017 TRUE "FALSE"
"172" "Toronto Maple Leafs" 84.7142857142857 2017 TRUE "FALSE"
"173" "Vegas Golden Knights" 64.4 2017 TRUE "FALSE"
"174" "Washington Capitals" 85.0714285714286 2017 TRUE "FALSE"
"175" "Winnipeg Jets" 89 2017 TRUE "FALSE"
"176" "Anaheim Ducks" 48.6857142857143 2018 FALSE "TRUE"
"177" "Arizona Coyotes" 59.1 2018 FALSE "TRUE"
"178" "Boston Bruins" 57.7380952380952 2018 FALSE "TRUE"
"179" "Buffalo Sabres" 58.4333333333333 2018 FALSE "TRUE"
"180" "Calgary Flames" 64.054054054054 2018 FALSE "TRUE"
"181" "Carolina Hurricanes" 82.2745098039216 2018 FALSE "TRUE"
"182" "Chicago Blackhawks" 73.9565217391304 2018 FALSE "TRUE"
"183" "Colorado Avalanche" 56.1612903225806 2018 FALSE "TRUE"
"184" "Columbus Blue Jackets" 63 2018 FALSE "TRUE"
"185" "Dallas Stars" 39.1296296296296 2018 FALSE "TRUE"
"186" "Detroit Red Wings" 65.5892857142857 2018 FALSE "TRUE"
"187" "Edmonton Oilers" 51.7777777777778 2018 FALSE "TRUE"
"188" "Florida Panthers" 55.037037037037 2018 FALSE "TRUE"
"189" "Los Angeles Kings" 34.2173913043478 2018 FALSE "TRUE"
"190" "Minnesota Wild" 55.5681818181818 2018 FALSE "TRUE"
"191" "Montreal Canadiens" 64.7241379310345 2018 FALSE "TRUE"
"192" "Nashville Predators" 72.5294117647059 2018 FALSE "TRUE"
"193" "New Jersey Devils" 65.4523809523809 2018 FALSE "TRUE"
"194" "New York Islanders" 35.0833333333333 2018 FALSE "TRUE"
"195" "New York Rangers" 55.7407407407407 2018 FALSE "TRUE"
"196" "Ottawa Senators" 57.6363636363636 2018 FALSE "TRUE"
"197" "Philadelphia Flyers" 36.6363636363636 2018 FALSE "TRUE"
"198" "Pittsburgh Penguins" 52.7777777777778 2018 FALSE "TRUE"
"199" "San Jose Sharks" 51.7307692307692 2018 FALSE "TRUE"
"200" "St. Louis Blues" 61.1836734693878 2018 FALSE "TRUE"
"201" "Tampa Bay Lightning" 70.9523809523809 2018 FALSE "TRUE"
"202" "Toronto Maple Leafs" 77.3076923076923 2018 FALSE "TRUE"
"203" "Vancouver Canucks" 54.5 2018 FALSE "TRUE"
"204" "Vegas Golden Knights" 47.9122807017544 2018 FALSE "TRUE"
"205" "Washington Capitals" 71.1777777777778 2018 FALSE "TRUE"
"206" "Winnipeg Jets" 57.2222222222222 2018 FALSE "TRUE"
"207" "Anaheim Ducks" 68.75 2018 FALSE "FALSE"
"208" "Arizona Coyotes" 84.6829268292683 2018 FALSE "FALSE"
"209" "Boston Bruins" 110.541666666667 2018 FALSE "FALSE"
"210" "Buffalo Sabres" 76.6 2018 FALSE "FALSE"
"211" "Calgary Flames" 114.695652173913 2018 FALSE "FALSE"
"212" "Carolina Hurricanes" 84.4358974358974 2018 FALSE "FALSE"
"213" "Chicago Blackhawks" 93.9761904761905 2018 FALSE "FALSE"
"214" "Colorado Avalanche" 110.829268292683 2018 FALSE "FALSE"
"215" "Columbus Blue Jackets" 48.5769230769231 2018 FALSE "FALSE"
"216" "Dallas Stars" 142.139534883721 2018 FALSE "FALSE"
"217" "Detroit Red Wings" 78.843137254902 2018 FALSE "FALSE"
"218" "Edmonton Oilers" 93.4516129032258 2018 FALSE "FALSE"
"219" "Florida Panthers" 119.480769230769 2018 FALSE "FALSE"
"220" "Los Angeles Kings" 70.3018867924528 2018 FALSE "FALSE"
"221" "Minnesota Wild" 90.2424242424242 2018 FALSE "FALSE"
"222" "Montreal Canadiens" 89.3076923076923 2018 FALSE "FALSE"
"223" "Nashville Predators" 97.7 2018 FALSE "FALSE"
"224" "New Jersey Devils" 87.9032258064516 2018 FALSE "FALSE"
"225" "New York Islanders" 92.9090909090909 2018 FALSE "FALSE"
"226" "New York Rangers" 97.1290322580645 2018 FALSE "FALSE"
"227" "Ottawa Senators" 65.027027027027 2018 FALSE "FALSE"
"228" "Philadelphia Flyers" 92.1538461538462 2018 FALSE "FALSE"
"229" "Pittsburgh Penguins" 78.5925925925926 2018 FALSE "FALSE"
"230" "San Jose Sharks" 80.15625 2018 FALSE "FALSE"
"231" "St. Louis Blues" 131.678571428571 2018 FALSE "FALSE"
"232" "Tampa Bay Lightning" 43.8 2018 FALSE "FALSE"
"233" "Toronto Maple Leafs" 123.146341463415 2018 FALSE "FALSE"
"234" "Vancouver Canucks" 86 2018 FALSE "FALSE"
"235" "Vegas Golden Knights" 78.3076923076923 2018 FALSE "FALSE"
"236" "Washington Capitals" 78.1290322580645 2018 FALSE "FALSE"
"237" "Winnipeg Jets" 122.5 2018 FALSE "FALSE"
"238" "Boston Bruins" 45.1666666666667 2018 TRUE "TRUE"
"239" "Carolina Hurricanes" 72 2018 TRUE "TRUE"
"240" "Colorado Avalanche" 50.5 2018 TRUE "TRUE"
"241" "Columbus Blue Jackets" 23.6666666666667 2018 TRUE "TRUE"
"242" "Dallas Stars" 51.0909090909091 2018 TRUE "TRUE"
"243" "Nashville Predators" 98.5714285714286 2018 TRUE "TRUE"
"244" "New York Islanders" 43.8888888888889 2018 TRUE "TRUE"
"245" "Pittsburgh Penguins" 78 2018 TRUE "TRUE"
"246" "San Jose Sharks" 77.0769230769231 2018 TRUE "TRUE"
"247" "St. Louis Blues" 32.4285714285714 2018 TRUE "TRUE"
"248" "Tampa Bay Lightning" 77.8 2018 TRUE "TRUE"
"249" "Toronto Maple Leafs" 84.8 2018 TRUE "TRUE"
"250" "Vegas Golden Knights" 78.6666666666667 2018 TRUE "TRUE"
"251" "Washington Capitals" 91 2018 TRUE "TRUE"
"252" "Winnipeg Jets" 38.7142857142857 2018 TRUE "TRUE"
"253" "Boston Bruins" 80.3333333333333 2018 TRUE "FALSE"
"254" "Colorado Avalanche" 61.25 2018 TRUE "FALSE"
"255" "Dallas Stars" 180 2018 TRUE "FALSE"
"256" "Nashville Predators" 70.3333333333333 2018 TRUE "FALSE"
"257" "Pittsburgh Penguins" 81.5 2018 TRUE "FALSE"
"258" "San Jose Sharks" 85.9642857142857 2018 TRUE "FALSE"
"259" "St. Louis Blues" 133.4 2018 TRUE "FALSE"
"260" "Tampa Bay Lightning" 39.5 2018 TRUE "FALSE"
"261" "Toronto Maple Leafs" 31.6666666666667 2018 TRUE "FALSE"
"262" "Vegas Golden Knights" 140.833333333333 2018 TRUE "FALSE"
"263" "Winnipeg Jets" 158 2018 TRUE "FALSE"
"264" "Anaheim Ducks" 56.6857142857143 2019 FALSE "TRUE"
"265" "Arizona Coyotes" 62.4901960784314 2019 FALSE "TRUE"
"266" "Boston Bruins" 66.4444444444444 2019 FALSE "TRUE"
"267" "Buffalo Sabres" 73.5813953488372 2019 FALSE "TRUE"
"268" "Calgary Flames" 72.5 2019 FALSE "TRUE"
"269" "Carolina Hurricanes" 74.5416666666667 2019 FALSE "TRUE"
"270" "Chicago Blackhawks" 66.4565217391304 2019 FALSE "TRUE"
"271" "Colorado Avalanche" 69.8723404255319 2019 FALSE "TRUE"
"272" "Columbus Blue Jackets" 52.0714285714286 2019 FALSE "TRUE"
"273" "Dallas Stars" 47.8 2019 FALSE "TRUE"
"274" "Detroit Red Wings" 81.9210526315789 2019 FALSE "TRUE"
"275" "Edmonton Oilers" 68.1428571428571 2019 FALSE "TRUE"
"276" "Florida Panthers" 56.5454545454545 2019 FALSE "TRUE"
"277" "Los Angeles Kings" 59.2631578947368 2019 FALSE "TRUE"
