"team_name" "Average Pull Time" "year" "playoff" "one_goal" "Number of Pulls " "tot"
"1" "Anaheim Ducks" 47.2307692307692 2016 FALSE TRUE 9 425.076923076923
"2" "Arizona Coyotes" 48.8181818181818 2016 FALSE TRUE 12 585.818181818182
"3" "Boston Bruins" 45.7213114754098 2016 FALSE TRUE 15 685.819672131148
"4" "Buffalo Sabres" 40.4102564102564 2016 FALSE TRUE 12 484.923076923077
"5" "Calgary Flames" 28.2941176470588 2016 FALSE TRUE 6 169.764705882353
"6" "Carolina Hurricanes" 56.962962962963 2016 FALSE TRUE 14 797.481481481482
"7" "Chicago Blackhawks" 67.5128205128205 2016 FALSE TRUE 13 877.666666666667
"8" "Colorado Avalanche" 47.3275862068966 2016 FALSE TRUE 17 804.568965517241
"9" "Columbus Blue Jackets" 42.8846153846154 2016 FALSE TRUE 13 557.5
"10" "Dallas Stars" 46.5652173913044 2016 FALSE TRUE 12 558.782608695652
"11" "Detroit Red Wings" 42.3636363636364 2016 FALSE TRUE 13 550.727272727273
"12" "Edmonton Oilers" 54 2016 FALSE TRUE 7 378
"13" "Florida Panthers" 45.8461538461538 2016 FALSE TRUE 13 596
"14" "Los Angeles Kings" 49.5161290322581 2016 FALSE TRUE 11 544.677419354839
"15" "Minnesota Wild" 40.2608695652174 2016 FALSE TRUE 16 644.173913043478
"16" "Montreal Canadiens" 50.9259259259259 2016 FALSE TRUE 11 560.185185185185
"17" "Nashville Predators" 55.9333333333333 2016 FALSE TRUE 11 615.266666666667
"18" "New Jersey Devils" 50.9 2016 FALSE TRUE 9 458.1
"19" "New York Islanders" 50.5263157894737 2016 FALSE TRUE 6 303.157894736842
"20" "New York Rangers" 33.6428571428571 2016 FALSE TRUE 11 370.071428571429
"21" "Ottawa Senators" 36.551724137931 2016 FALSE TRUE 10 365.51724137931
"22" "Philadelphia Flyers" 50.2727272727273 2016 FALSE TRUE 10 502.727272727273
"23" "Pittsburgh Penguins" 32.5294117647059 2016 FALSE TRUE 7 227.705882352941
"24" "San Jose Sharks" 55.02 2016 FALSE TRUE 15 825.3
"25" "St. Louis Blues" 60.7333333333333 2016 FALSE TRUE 7 425.133333333333
