"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"1" "Anaheim Ducks" 9 2016 FALSE TRUE
"2" "Arizona Coyotes" 12 2016 FALSE TRUE
"3" "Boston Bruins" 15 2016 FALSE TRUE
"4" "Buffalo Sabres" 12 2016 FALSE TRUE
"5" "Calgary Flames" 6 2016 FALSE TRUE
"6" "Carolina Hurricanes" 14 2016 FALSE TRUE
"7" "Chicago Blackhawks" 13 2016 FALSE TRUE
"8" "Colorado Avalanche" 17 2016 FALSE TRUE
"9" "Columbus Blue Jackets" 13 2016 FALSE TRUE
"10" "Dallas Stars" 12 2016 FALSE TRUE
"11" "Detroit Red Wings" 13 2016 FALSE TRUE
"12" "Edmonton Oilers" 7 2016 FALSE TRUE
"13" "Florida Panthers" 13 2016 FALSE TRUE
"14" "Los Angeles Kings" 11 2016 FALSE TRUE
"15" "Minnesota Wild" 16 2016 FALSE TRUE
"16" "Montreal Canadiens" 11 2016 FALSE TRUE
"17" "Nashville Predators" 11 2016 FALSE TRUE
"18" "New Jersey Devils" 9 2016 FALSE TRUE
"19" "New York Islanders" 6 2016 FALSE TRUE
"20" "New York Rangers" 11 2016 FALSE TRUE
"21" "Ottawa Senators" 10 2016 FALSE TRUE
"22" "Philadelphia Flyers" 10 2016 FALSE TRUE
"23" "Pittsburgh Penguins" 7 2016 FALSE TRUE
"24" "San Jose Sharks" 15 2016 FALSE TRUE
"25" "St. Louis Blues" 7 2016 FALSE TRUE
"26" "Tampa Bay Lightning" 9 2016 FALSE TRUE
"27" "Toronto Maple Leafs" 9 2016 FALSE TRUE
"28" "Vancouver Canucks" 14 2016 FALSE TRUE
"29" "Washington Capitals" 8 2016 FALSE TRUE
"30" "Winnipeg Jets" 11 2016 FALSE TRUE
"31" "Anaheim Ducks" 3 2016 FALSE FALSE
"32" "Arizona Coyotes" 12 2016 FALSE FALSE
"33" "Boston Bruins" 9 2016 FALSE FALSE
"34" "Buffalo Sabres" 9 2016 FALSE FALSE
"35" "Calgary Flames" 10 2016 FALSE FALSE
"36" "Carolina Hurricanes" 7 2016 FALSE FALSE
"37" "Chicago Blackhawks" 6 2016 FALSE FALSE
"38" "Colorado Avalanche" 15 2016 FALSE FALSE
"39" "Columbus Blue Jackets" 7 2016 FALSE FALSE
"40" "Dallas Stars" 13 2016 FALSE FALSE
