"Team" "Comeback%" "Comeback_oppertunities" "Meltdown%" "Meltdown_oppertunities" "year" "playoff"
"1" "Anaheim Ducks" 0 9 0.0714285714285714 14 2016 FALSE
"2" "Arizona Coyotes" 0.0833333333333333 12 0.1 10 2016 FALSE
"3" "Boston Bruins" 0.0666666666666667 15 0 9 2016 FALSE
"4" "Buffalo Sabres" 0.0833333333333333 12 0 11 2016 FALSE
"5" "Calgary Flames" 0 6 0.222222222222222 9 2016 FALSE
"6" "Carolina Hurricanes" 0.0714285714285714 14 0.153846153846154 13 2016 FALSE
"7" "Chicago Blackhawks" 0.307692307692308 13 0 12 2016 FALSE
"8" "Colorado Avalanche" 0.0588235294117647 17 0.166666666666667 6 2016 FALSE
"9" "Columbus Blue Jackets" 0.153846153846154 13 0.0714285714285714 14 2016 FALSE
"10" "Dallas Stars" 0.0833333333333333 12 0.111111111111111 9 2016 FALSE
"11" "Detroit Red Wings" 0.153846153846154 13 0.285714285714286 7 2016 FALSE
"12" "Edmonton Oilers" 0 7 0.0769230769230769 13 2016 FALSE
"13" "Florida Panthers" 0.0769230769230769 13 0.111111111111111 9 2016 FALSE
"14" "Los Angeles Kings" 0 11 0.25 8 2016 FALSE
"15" "Minnesota Wild" 0.1875 16 0 16 2016 FALSE
"16" "Montreal Canadiens" 0.0909090909090909 11 0.125 8 2016 FALSE
"17" "Nashville Predators" 0 11 0.111111111111111 9 2016 FALSE
"18" "New Jersey Devils" 0 10 0.166666666666667 12 2016 FALSE
"19" "New York Islanders" 0 6 0.25 8 2016 FALSE
"20" "New York Rangers" 0.0909090909090909 11 0 16 2016 FALSE
"21" "Ottawa Senators" 0.1 10 0 15 2016 FALSE
"22" "Philadelphia Flyers" 0.2 10 0 7 2016 FALSE
"23" "Pittsburgh Penguins" 0.428571428571429 7 0.1 10 2016 FALSE
"24" "San Jose Sharks" 0.0666666666666667 15 0 10 2016 FALSE
"25" "St. Louis Blues" 0 7 0.105263157894737 19 2016 FALSE
"26" "Tampa Bay Lightning" 0 9 0.285714285714286 7 2016 FALSE
"27" "Toronto Maple Leafs" 0 9 0.214285714285714 14 2016 FALSE
"28" "Vancouver Canucks" 0.142857142857143 14 0.111111111111111 9 2016 FALSE
"29" "Washington Capitals" 0 8 0.133333333333333 15 2016 FALSE
"30" "Winnipeg Jets" 0.272727272727273 11 0 13 2016 FALSE
"31" "Anaheim Ducks" 0.272727272727273 11 0.2 15 2017 FALSE
"32" "Arizona Coyotes" 0.117647058823529 17 0.230769230769231 13 2017 FALSE
"33" "Boston Bruins" 0.2 10 0.0625 16 2017 FALSE
"34" "Buffalo Sabres" 0.142857142857143 21 0.214285714285714 14 2017 FALSE
"35" "Calgary Flames" 0 5 0.111111111111111 9 2017 FALSE
"36" "Carolina Hurricanes" 0.125 16 0.0909090909090909 11 2017 FALSE
"37" "Chicago Blackhawks" 0 9 0.181818181818182 11 2017 FALSE
"38" "Colorado Avalanche" 0.111111111111111 9 0.307692307692308 13 2017 FALSE
"39" "Columbus Blue Jackets" 0.0909090909090909 11 0 9 2017 FALSE
"40" "Dallas Stars" 0.222222222222222 9 0.142857142857143 14 2017 FALSE
"41" "Detroit Red Wings" 0.0625 16 0.5 8 2017 FALSE
"42" "Edmonton Oilers" 0.117647058823529 17 0.2 10 2017 FALSE
"43" "Florida Panthers" 0 11 0 16 2017 FALSE
"44" "Los Angeles Kings" 0.235294117647059 17 0.222222222222222 9 2017 FALSE
"45" "Minnesota Wild" 0.181818181818182 11 0.181818181818182 11 2017 FALSE
"46" "Montreal Canadiens" 0.2 5 0 7 2017 FALSE
"47" "Nashville Predators" 0.272727272727273 11 0.111111111111111 18 2017 FALSE
"48" "New Jersey Devils" 0.0833333333333333 12 0.2 20 2017 FALSE
"49" "New York Islanders" 0.2 20 0.230769230769231 13 2017 FALSE
"50" "New York Rangers" 0 13 0.153846153846154 13 2017 FALSE
"51" "Ottawa Senators" 0.166666666666667 18 0.25 8 2017 FALSE
"52" "Philadelphia Flyers" 0.25 12 0.2 20 2017 FALSE
"53" "Pittsburgh Penguins" 0.266666666666667 15 0.2 10 2017 FALSE
"54" "San Jose Sharks" 0.181818181818182 11 0 10 2017 FALSE
"55" "St. Louis Blues" 0.25 8 0.166666666666667 12 2017 FALSE
"56" "Tampa Bay Lightning" 0 7 0.1 10 2017 FALSE
"57" "Toronto Maple Leafs" 0.230769230769231 13 0.0714285714285714 14 2017 FALSE
"58" "Vancouver Canucks" 0.0769230769230769 13 0.125 8 2017 FALSE
"59" "Vegas Golden Knights" 0.166666666666667 12 0.166666666666667 12 2017 FALSE
"60" "Washington Capitals" 0.0909090909090909 11 0.111111111111111 9 2017 FALSE
"61" "Winnipeg Jets" 0.333333333333333 6 0 14 2017 FALSE
"62" "Anaheim Ducks" 0.166666666666667 12 0.153846153846154 13 2018 FALSE
"63" "Arizona Coyotes" 0.0833333333333333 12 0.111111111111111 9 2018 FALSE
"64" "Boston Bruins" 0 10 0 7 2018 FALSE
"65" "Buffalo Sabres" 0.153846153846154 13 0.2 10 2018 FALSE
"66" "Calgary Flames" 0.3 10 0.0714285714285714 14 2018 FALSE
"67" "Carolina Hurricanes" 0.285714285714286 14 0.0833333333333333 12 2018 FALSE
"68" "Chicago Blackhawks" 0.285714285714286 14 0.222222222222222 9 2018 FALSE
"69" "Colorado Avalanche" 0.166666666666667 12 0.1 10 2018 FALSE
"70" "Columbus Blue Jackets" 0.1 10 0.125 8 2018 FALSE
"71" "Dallas Stars" 0 15 0 11 2018 FALSE
"72" "Detroit Red Wings" 0.0909090909090909 22 0.272727272727273 11 2018 FALSE
"73" "Edmonton Oilers" 0.3 10 0.1 10 2018 FALSE
"74" "Florida Panthers" 0.1875 16 0.2 10 2018 FALSE
"75" "Los Angeles Kings" 0 8 0.25 12 2018 FALSE
"76" "Minnesota Wild" 0.0909090909090909 11 0.0625 16 2018 FALSE
"77" "Montreal Canadiens" 0.142857142857143 7 0 11 2018 FALSE
"78" "Nashville Predators" 0.0714285714285714 14 0.0769230769230769 13 2018 FALSE
"79" "New Jersey Devils" 0.25 16 0.333333333333333 6 2018 FALSE
"80" "New York Islanders" 0 9 0.230769230769231 13 2018 FALSE
"81" "New York Rangers" 0.125 16 0.133333333333333 15 2018 FALSE
"82" "Ottawa Senators" 0.125 8 0 6 2018 FALSE
"83" "Philadelphia Flyers" 0.272727272727273 11 0.0833333333333333 12 2018 FALSE
"84" "Pittsburgh Penguins" 0 7 0.272727272727273 11 2018 FALSE
"85" "San Jose Sharks" 0.333333333333333 9 0 11 2018 FALSE
"86" "St. Louis Blues" 0.0769230769230769 13 0.307692307692308 13 2018 FALSE
"87" "Tampa Bay Lightning" 0 4 0.0714285714285714 14 2018 FALSE
